,City Name,Temperature,Humidity,Cloudiness,Wind Speed
0,Qasigiannguit,-2.86,96,97,1.17
1,Rikitea,20.72,76,93,8.5
2,Genhe,8.76,31,65,2.87
3,Hermanus,19.89,73,3,3.08
4,Muros,15.47,88,40,4.05
5,Tiksi,-8.56,88,88,3.97
6,Pevek,-4.71,81,99,5.34
7,Esperance,13.58,70,74,10.21
8,Avarua,24.03,88,75,8.23
9,Bengkulu,27.01,78,99,2.23
10,Naze,24.51,68,65,8.15
11,Carnarvon,21.68,40,0,11.05
12,Tuktoyaktuk,-1.66,77,98,4.92
13,Panguna,20.73,96,76,0.68
14,Beringovskiy,-1.26,58,9,1.6
15,Mokhsogollokh,-1.83,87,97,1.3
16,Port Alfred,21.77,84,93,0.45
17,Kota Kinabalu,29.99,70,20,4.47
18,Ugoofaaru,25.92,84,98,10.4
19,Olinda,24.85,65,0,5.66
20,Lyman,12.13,61,4,4.62
21,Haines Junction,4.97,70,100,1.54
22,Fairbanks,-2.65,91,100,2.06
23,Longyearbyen,1.91,69,75,5.14
24,Yellowknife,0.31,69,100,11.32
25,Longaví,6.31,94,4,2.39
26,Codrington,14.34,93,100,3.44
27,Maniitsoq,-2.98,75,100,2.3
28,Kahului,27.01,78,40,2.57
29,Narsaq,-0.88,68,86,4.08
30,Hofn,4.3,56,54,5.24
31,Hobart,16.81,76,100,0.89
32,Bredasdorp,22.41,56,13,3.24
33,Punta Arenas,1.06,93,40,12.86
34,Hithadhoo,27.66,75,99,6.69
35,Goranboy,22.16,34,3,2.75
36,Raudeberg,10.53,47,100,10.19
37,Bluff,8.26,70,24,2.95
38,Oranjestad,27.97,89,20,4.63
39,Karasjok,4.32,70,97,8.21
40,Busselton,16.12,48,4,6.99
41,Ushuaia,0.81,93,20,0.51
42,Castro,15.71,97,100,1.32
43,Benguela,25.03,69,73,1.95
44,Viana,22.87,85,84,2.16
45,Northam,10.9,90,26,4.14
46,Anloga,26.35,80,46,3.06
47,Changji,16.44,20,0,2.0
48,Amarpātan,29.45,57,34,1.67
49,Saskylakh,-4.24,98,97,0.61
50,Kharitonovo,7.96,77,49,2.4
51,Laurel,12.58,86,20,1.54
52,Kavieng,28.57,69,74,1.91
53,Albany,9.92,89,7,1.08
54,Benghazi,25.15,43,5,3.91
55,Beloha,35.2,20,1,2.4
56,Cape Town,21.73,77,75,7.2
57,Jamestown,13.77,72,0,2.57
58,Half Moon Bay,15.63,92,100,3.09
59,Mogadishu,28.93,70,40,6.17
60,Mahébourg,25.16,61,40,6.17
61,Leningradskiy,-4.47,73,100,8.21
62,Nome,-1.96,86,75,0.0
63,Saint Paul Harbor,3.73,65,0,2.06
64,Sobolevo,9.28,70,14,4.6
65,Hasaki,21.79,65,100,7.98
66,Kysyl-Syr,0.05,98,100,2.73
67,Cidreira,16.32,93,100,5.71
68,Barrow,-1.99,93,100,12.86
69,Avera,19.19,97,44,2.34
70,Guerrero Negro,20.28,81,42,5.28
71,Laguna,19.8,77,0,2.06
72,Bambanglipuro,27.34,74,49,5.6
73,Bull Savanna,23.82,84,33,2.73
74,Te Anau,6.84,87,58,1.86
75,Atar,29.44,33,94,6.83
76,Mindelo,24.75,83,40,6.69
77,Kapaa,24.18,90,75,2.06
78,Mulchén,7.39,94,43,0.18
79,Dabat,17.85,51,6,2.13
80,Nakamura,19.06,70,100,0.46
81,Mataura,4.71,83,12,1.15
82,Belmonte,23.16,83,27,4.74
83,Ostrovnoy,7.67,83,90,9.07
84,Lompoc,17.1,93,100,2.06
85,Mackenzie,3.12,87,0,1.03
86,Bosaso,29.99,66,0,4.12
87,Zhigansk,-3.38,92,100,8.02
88,Bethel,12.2,87,0,0.0
89,Adolfo López Mateos,9.16,70,20,1.34
90,Ilulissat,-2.99,80,100,0.0
91,New Norfolk,16.62,62,100,1.79
